system:index,AFG,BGR,LTR,PFG,SHR,TRE,latitude,longitude
46516,2,45,18,17,14,1,32.58661151,-106.8498869
46517,2,45,19,17,13,1,32.58661151,-106.8496174
46518,2,45,19,17,12,1,32.58661151,-106.8493479
46519,2,45,19,17,13,1,32.58661151,-106.8490784
46520,2,43,19,18,13,1,32.58661151,-106.8488089
46521,2,41,19,19,12,0,32.58661151,-106.8485394
46522,2,41,20,20,12,0,32.58661151,-106.8482699
46523,3,40,20,19,13,0,32.58661151,-106.8480004
46524,2,40,19,19,13,1,32.58661151,-106.8477309
46525,3,40,20,19,13,0,32.58661151,-106.8474614
46526,3,39,20,20,12,0,32.58661151,-106.8471919
46527,2,42,20,20,12,1,32.58661151,-106.8469225
46528,1,46,20,16,13,0,32.58661151,-106.846653
46529,0,49,18,12,15,0,32.58661151,-106.8463835
46530,0,48,19,15,13,0,32.58661151,-106.846114
46531,1,46,21,17,11,1,32.58661151,-106.8458445
46532,2,44,23,17,11,1,32.58661151,-106.845575
46533,2,44,24,17,11,1,32.58661151,-106.8453055
46534,2,44,24,16,11,0,32.58661151,-106.845036
46535,2,41,23,18,10,0,32.58661151,-106.8447665
46536,2,37,22,21,11,0,32.58661151,-106.844497
46537,2,39,23,20,11,0,32.58661151,-106.8442275
46538,2,39,23,17,12,0,32.58661151,-106.843958
46539,2,41,23,15,12,0,32.58661151,-106.8436885
46540,2,42,23,17,12,0,32.58661151,-106.843419
46541,2,40,22,17,13,0,32.58661151,-106.8431495
46542,2,41,23,17,12,0,32.58661151,-106.84288
46543,2,45,22,17,12,0,32.58661151,-106.8426105
46544,2,43,20,18,12,0,32.58661151,-106.842341
46545,1,37,20,21,12,0,32.58661151,-106.8420715
46546,1,32,19,24,10,0,32.58661151,-106.8418021
46547,1,31,19,25,11,0,32.58661151,-106.8415326
46548,0,32,18,26,11,0,32.58661151,-106.8412631
46549,0,33,17,26,13,0,32.58661151,-106.8409936
46550,0,37,17,23,13,0,32.58661151,-106.8407241
46551,0,37,17,21,13,0,32.58661151,-106.8404546
46552,1,37,16,22,13,0,32.58661151,-106.8401851
46553,1,37,16,21,13,0,32.58661151,-106.8399156
46554,1,39,17,20,13,0,32.58661151,-106.8396461
46555,1,41,18,21,12,0,32.58661151,-106.8393766
46556,1,38,19,22,12,0,32.58661151,-106.8391071
46557,1,31,19,25,11,0,32.58661151,-106.8388376
46558,1,30,19,26,11,0,32.58661151,-106.8385681
46559,1,30,20,25,12,0,32.58661151,-106.8382986
46560,2,34,20,23,12,0,32.58661151,-106.8380291
46561,2,40,21,18,12,0,32.58661151,-106.8377596
46562,2,38,22,20,11,0,32.58661151,-106.8374901
46563,2,38,22,19,12,0,32.58661151,-106.8372206
46564,2,37,23,21,11,0,32.58661151,-106.8369512
46565,1,37,23,20,11,0,32.58661151,-106.8366817
46566,1,36,23,20,11,0,32.58661151,-106.8364122
46567,1,37,23,19,11,0,32.58661151,-106.8361427
46568,2,42,22,17,12,0,32.58661151,-106.8358732
46569,2,41,23,16,12,0,32.58661151,-106.8356037
46570,1,37,24,18,11,0,32.58661151,-106.8353342
46571,2,34,25,20,10,0,32.58661151,-106.8350647
46572,1,34,25,21,10,0,32.58661151,-106.8347952
46573,1,39,25,20,10,0,32.58661151,-106.8345257
46574,1,44,25,17,10,0,32.58661151,-106.8342562
46575,2,46,24,16,10,0,32.58661151,-106.8339867
46576,2,43,24,16,10,0,32.58661151,-106.8337172
46577,2,36,24,19,9,0,32.58661151,-106.8334477
46578,2,32,25,21,9,0,32.58661151,-106.8331782
46579,3,32,25,21,9,0,32.58661151,-106.8329087
46580,3,36,25,20,10,0,32.58661151,-106.8326392
46581,2,37,24,19,10,0,32.58661151,-106.8323697
46582,3,36,25,19,9,0,32.58661151,-106.8321002
46583,2,39,25,16,10,0,32.58661151,-106.8318308
46584,2,43,24,16,10,0,32.58661151,-106.8315613
46585,2,46,22,16,11,0,32.58661151,-106.8312918
46586,2,47,20,16,11,0,32.58661151,-106.8310223
46587,2,48,18,15,12,0,32.58661151,-106.8307528
46588,1,50,20,14,11,0,32.58661151,-106.8304833
46589,2,49,21,15,10,0,32.58661151,-106.8302138
46590,2,49,22,15,10,0,32.58661151,-106.8299443
46591,2,49,23,14,10,0,32.58661151,-106.8296748
